NAT_ID,AUTH_ID,NAME,FEATURE,CATEGORY,GROUP,LATITUDE,LONGITUDE,AUTHORITY,SUPPLY_DATE,WKT,STATUS
NT_11040,11040,Bond Dam,DAM,WATERBODY,HYDROLOGY,-23.4167,134.1333,NT,2024-03-01,POINT (134.133292 -23.416714),gazetted
NT_10386,10386,Anzac Dam,DAM,WATERBODY,HYDROLOGY,-21.9943,132.8105,NT,2024-03-01,POINT (132.810492 -21.994314),gazetted
NT_10734,10734,Beaver Dam,DAM,WATERBODY,HYDROLOGY,-23.4094,133.628,NT,2024-03-01,POINT (133.627992 -23.409414),gazetted
NT_10743,10743,Beefwood Swamp Dam,DAM,WATERBODY,HYDROLOGY,-25.0224,132.5847,NT,2024-03-01,POINT (132.584692 -25.022414),gazetted
NT_10391,10391,Applepad Dam,DAM,WATERBODY,HYDROLOGY,-22.3745,137.9127,NT,2024-03-01,POINT (137.912692 -22.374514),gazetted
NT_10771,10771,Ben Walkington Dam,DAM,WATERBODY,HYDROLOGY,-23.9537,134.1313,NT,2024-03-01,POINT (134.131292 -23.953714),gazetted
NT_11133,11133,Boundary Dam,DAM,WATERBODY,HYDROLOGY,-23.9236,133.1905,NT,2024-03-01,POINT (133.190492 -23.923614),gazetted
NT_11134,11134,Boundary Dam,DAM,WATERBODY,HYDROLOGY,-22.0956,132.4214,NT,2024-03-01,POINT (132.421392 -22.095614),gazetted
NT_11135,11135,Boundary Dam,DAM,WATERBODY,HYDROLOGY,-21.1833,135.9889,NT,2024-03-01,POINT (135.988892 -21.183314),gazetted
NT_11150,11150,Box Hole Dam,DAM,WATERBODY,HYDROLOGY,-18.7667,134.05,NT,2024-03-01,POINT (134.049992 -18.766714),gazetted
NT_11151,11151,Box Hole Dam,DAM,WATERBODY,HYDROLOGY,-23.6667,134.6333,NT,2024-03-01,POINT (134.633292 -23.666714),gazetted
NT_11156,11156,Boxwood Dam,DAM,WATERBODY,HYDROLOGY,-24.7218,133.1556,NT,2024-03-01,POINT (133.155592 -24.721814),gazetted
NT_11076,11076,Boots Dam,DAM,WATERBODY,HYDROLOGY,-23.2692,135.088,NT,2024-03-01,POINT (135.087992 -23.269214),gazetted
NT_10706,10706,Baxters Muddle Dam,DAM,WATERBODY,HYDROLOGY,-22.6333,137.2833,NT,2024-03-01,POINT (137.283292 -22.633314),gazetted
NT_10719,10719,Beantree Dam,DAM,WATERBODY,HYDROLOGY,-22.8167,136.8333,NT,2024-03-01,POINT (136.833292 -22.816714),gazetted
NT_10720,10720,Beantree Dam,DAM,WATERBODY,HYDROLOGY,-22.0689,132.1697,NT,2024-03-01,POINT (132.169691 -22.068914),gazetted
NT_10828,10828,Bill Dam,DAM,WATERBODY,HYDROLOGY,-24.6267,134.1617,NT,2024-03-01,POINT (134.161692 -24.626714),gazetted
NT_11111,11111,Bottom Dam,DAM,WATERBODY,HYDROLOGY,-23.0249,135.5864,NT,2024-03-01,POINT (135.586392 -23.024914),gazetted
NT_11116,11116,Boulder Dam,DAM,WATERBODY,HYDROLOGY,-21.4333,137.5333,NT,2024-03-01,POINT (137.533292 -21.433314),gazetted
NT_10454,10454,Aroora Dam,DAM,WATERBODY,HYDROLOGY,-25.1633,133.1369,NT,2024-03-01,POINT (133.136892 -25.163314),gazetted
NT_10149,10149,Adder Dam,DAM,WATERBODY,HYDROLOGY,-19.454,137.6854,NT,2024-03-01,POINT (137.685392 -19.454014),gazetted
NT_10478,10478,Athinna Dam,DAM,WATERBODY,HYDROLOGY,-22.35,134.4,NT,2024-03-01,POINT (134.399992 -22.350014),gazetted
NT_10488,10488,Atnarta Dam,DAM,WATERBODY,HYDROLOGY,-23.2565,135.2364,NT,2024-03-01,POINT (135.236392 -23.256514),gazetted
NT_10493,10493,Atoota Dam,DAM,WATERBODY,HYDROLOGY,-24.3167,135.4333,NT,2024-03-01,POINT (135.433292 -24.316714),gazetted
NT_10497,10497,Attack Dam,DAM,WATERBODY,HYDROLOGY,-18.45,134.55,NT,2024-03-01,POINT (134.549992 -18.450014),gazetted
NT_10168,10168,Aerodrome Dam,DAM,WATERBODY,HYDROLOGY,-25.0605,133.7063,NT,2024-03-01,POINT (133.706292 -25.060514),gazetted
NT_20300,20300,No 1 Dam,DAM,WATERBODY,HYDROLOGY,-23.8619,133.6321,NT,2024-03-01,POINT (133.632092 -23.861914),gazetted
NT_20900,20900,Aruta Dam,DAM,WATERBODY,HYDROLOGY,-25.8335,133.2542,NT,2024-03-01,POINT (133.254192 -25.833514),gazetted
NT_21800,21800,Boundary Dam,DAM,WATERBODY,HYDROLOGY,-24.4899,134.1351,NT,2024-03-01,POINT (134.135092 -24.489914),gazetted
NT_10832,10832,Billabong Dam,DAM,WATERBODY,HYDROLOGY,-14.7389,133.6769,NT,2024-03-01,POINT (133.676891 -14.738914),gazetted
NT_10840,10840,Bills Dam,DAM,WATERBODY,HYDROLOGY,-19.1833,136.05,NT,2024-03-01,POINT (136.049992 -19.183314),gazetted
NT_10178,10178,Aileron Dam,DAM,WATERBODY,HYDROLOGY,-22.6336,133.3517,NT,2024-03-01,POINT (133.351692 -22.633614),gazetted
NT_10199,10199,Albarta Dam,DAM,WATERBODY,HYDROLOGY,-23.5456,135.23,NT,2024-03-01,POINT (135.229992 -23.545614),gazetted
NT_10572,10572,Bald Hill Dam,DAM,WATERBODY,HYDROLOGY,-23.3,134.1333,NT,2024-03-01,POINT (134.133292 -23.300014),gazetted
NT_10884,10884,Black Cap Dam,DAM,WATERBODY,HYDROLOGY,-24.6,132.9667,NT,2024-03-01,POINT (132.966692 -24.600014),gazetted
NT_10890,10890,Black Hill Dam,DAM,WATERBODY,HYDROLOGY,-25.2646,134.0782,NT,2024-03-01,POINT (134.078192 -25.264614),gazetted
NT_10891,10891,Black Hill Dam,DAM,WATERBODY,HYDROLOGY,-23.408,135.3988,NT,2024-03-01,POINT (135.398792 -23.408014),gazetted
NT_10235,10235,Allen Dam,DAM,WATERBODY,HYDROLOGY,-23.9384,135.0337,NT,2024-03-01,POINT (135.033692 -23.938414),gazetted
NT_10594,10594,Bank Dam,DAM,WATERBODY,HYDROLOGY,-22.4167,134.3,NT,2024-03-01,POINT (134.299992 -22.416714),gazetted
NT_10595,10595,Bank Dam,DAM,WATERBODY,HYDROLOGY,-25.5782,135.1461,NT,2024-03-01,POINT (135.146092 -25.578214),gazetted
NT_10596,10596,Bank Dam,DAM,WATERBODY,HYDROLOGY,-22.6833,135.05,NT,2024-03-01,POINT (135.049992 -22.683314),gazetted
NT_10611,10611,Baraba Dam,DAM,WATERBODY,HYDROLOGY,-17.2667,135.6,NT,2024-03-01,POINT (135.599992 -17.266714),gazetted
NT_10007,10007,10 Mile Dam,DAM,WATERBODY,HYDROLOGY,-23.0167,134.5,NT,2024-03-01,POINT (134.499992 -23.016714),gazetted
NT_10008,10008,10 Mile Dam,DAM,WATERBODY,HYDROLOGY,-22.2,130.8,NT,2024-03-01,POINT (130.799991 -22.200014),gazetted
NT_10009,10009,10 Mile Dam,DAM,WATERBODY,HYDROLOGY,-23.2,134.3167,NT,2024-03-01,POINT (134.316692 -23.200014),gazetted
NT_10014,10014,12 Mile Dam,DAM,WATERBODY,HYDROLOGY,-23.8428,133.8153,NT,2024-03-01,POINT (133.815292 -23.842814),gazetted
