NAT_ID,AUTH_ID,NAME,FEATURE,CATEGORY,GROUP,LATITUDE,LONGITUDE,AUTHORITY,SUPPLY_DATE,WKT,STATUS
TAS_696E,696E,Broad River,WATERCOURSE,WATERWAY,HYDROLOGY,-42.54912,146.61738,TAS,2025-12-14,POINT (146.61738 -42.54912),gazetted
TAS_8919E,8919E,Broad Valley Creek,WATERCOURSE,WATERWAY,HYDROLOGY,-42.66516,147.49031,TAS,2025-12-14,POINT (147.49031 -42.66516),gazetted
TAS_11662M,11662M,Broad Valley Rivulet,WATERCOURSE,WATERWAY,HYDROLOGY,-41.74024,147.55545,TAS,2025-12-14,POINT (147.55545 -41.74024),gazetted
TAS_7629L,7629L,Broadwater Creek,WATERCOURSE,WATERWAY,HYDROLOGY,-41.09349,148.24955,TAS,2025-12-14,POINT (148.24955 -41.09349),gazetted
TAS_17512S,17512S,Broderick Creek,WATERCOURSE,WATERWAY,HYDROLOGY,-41.44401,145.21024,TAS,2025-12-14,POINT (145.21024 -41.44401),gazetted
TAS_11464Y,11464Y,Brodribb Creek,WATERCOURSE,WATERWAY,HYDROLOGY,-42.05671,147.82493,TAS,2025-12-14,POINT (147.82493 -42.05671),gazetted
TAS_13188C,13188C,Broken Bay Creek,WATERCOURSE,WATERWAY,HYDROLOGY,-42.10633,146.63738,TAS,2025-12-14,POINT (146.63738 -42.10633),gazetted
TAS_13189E,13189E,Broken Bridge Creek,WATERCOURSE,WATERWAY,HYDROLOGY,-42.2238,146.54823,TAS,2025-12-14,POINT (146.54823 -42.2238),gazetted
TAS_4399J,4399J,Broken Leg Creek,WATERCOURSE,WATERWAY,HYDROLOGY,-42.11827,146.25753,TAS,2025-12-14,POINT (146.25753 -42.11827),gazetted
TAS_16238T,16238T,Bronzewing Creek,WATERCOURSE,WATERWAY,HYDROLOGY,-39.92947,144.11683,TAS,2025-12-14,POINT (144.11683 -39.92947),gazetted
TAS_22287D,22287D,Brook of Inveraestra,WATERCOURSE,WATERWAY,HYDROLOGY,-42.27862,145.79324,TAS,2025-12-14,POINT (145.79324 -42.27862),gazetted
TAS_7630T,7630T,Brooklime Creek,WATERCOURSE,WATERWAY,HYDROLOGY,-41.0642,148.10898,TAS,2025-12-14,POINT (148.10898 -41.0642),gazetted
TAS_8501R,8501R,Brooklyn Creek,WATERCOURSE,WATERWAY,HYDROLOGY,-41.17455,147.81878,TAS,2025-12-14,POINT (147.81878 -41.17455),gazetted
TAS_7550T,7550T,Brooks Creek,WATERCOURSE,WATERWAY,HYDROLOGY,-40.97882,147.79593,TAS,2025-12-14,POINT (147.79593 -40.97882),gazetted
TAS_16132W,16132W,Brooks Creek,WATERCOURSE,WATERWAY,HYDROLOGY,-41.29454,144.78585,TAS,2025-12-14,POINT (144.78585 -41.29454),gazetted
TAS_5281T,5281T,Brooks Creek,WATERCOURSE,WATERWAY,HYDROLOGY,-41.41619,147.99759,TAS,2025-12-14,POINT (147.99759 -41.41619),gazetted
TAS_10653Q,10653Q,Brooks Creek,WATERCOURSE,WATERWAY,HYDROLOGY,-40.70497,144.96262,TAS,2025-12-14,POINT (144.96262 -40.70497),gazetted
TAS_21303W,21303W,Brookside Creek,WATERCOURSE,WATERWAY,HYDROLOGY,-41.61191,145.11619,TAS,2025-12-14,POINT (145.11619 -41.61191),gazetted
TAS_12704R,12704R,Brookstead Creek,WATERCOURSE,WATERWAY,HYDROLOGY,-41.80676,147.90023,TAS,2025-12-14,POINT (147.90023 -41.80676),gazetted
TAS_8502T,8502T,Brothers Creek,WATERCOURSE,WATERWAY,HYDROLOGY,-41.15059,147.79994,TAS,2025-12-14,POINT (147.79994 -41.15059),gazetted
TAS_3039H,3039H,Brothers Creek,WATERCOURSE,WATERWAY,HYDROLOGY,-41.62793,145.1156,TAS,2025-12-14,POINT (145.1156 -41.62793),gazetted
TAS_5996D,5996D,Brougham River,WATERCOURSE,WATERWAY,HYDROLOGY,-41.71542,145.73511,TAS,2025-12-14,POINT (145.73511 -41.71542),gazetted
TAS_15825W,15825W,Brown Marsh Creek,WATERCOURSE,WATERWAY,HYDROLOGY,-42.1526,146.41269,TAS,2025-12-14,POINT (146.41269 -42.1526),gazetted
TAS_3040Q,3040Q,Brown Plains Creek,WATERCOURSE,WATERWAY,HYDROLOGY,-41.62532,145.15157,TAS,2025-12-14,POINT (145.15157 -41.62532),gazetted
TAS_1993T,1993T,Browns Caves Creek,WATERCOURSE,WATERWAY,HYDROLOGY,-42.60278,147.3012,TAS,2025-12-14,POINT (147.3012 -42.60278),gazetted
TAS_22024Y,22024Y,Browns Creek,WATERCOURSE,WATERWAY,HYDROLOGY,-42.9275,147.91389,TAS,2025-12-14,POINT (147.91389 -42.9275),gazetted
TAS_1425S,1425S,Browns Creek,WATERCOURSE,WATERWAY,HYDROLOGY,-41.19433,146.66222,TAS,2025-12-14,POINT (146.66222 -41.19433),gazetted
TAS_563Y,563Y,Browns River,WATERCOURSE,WATERWAY,HYDROLOGY,-42.96269,147.2889,TAS,2025-12-14,POINT (147.2889 -42.96269),gazetted
TAS_3250P,3250P,Bruce Creek,WATERCOURSE,WATERWAY,HYDROLOGY,-41.78492,145.59403,TAS,2025-12-14,POINT (145.59403 -41.78492),gazetted
TAS_1910A,1910A,Brumbys Creek,WATERCOURSE,WATERWAY,HYDROLOGY,-41.74443,146.85547,TAS,2025-12-14,POINT (146.85547 -41.74443),gazetted
TAS_11465B,11465B,Brushy Creek,WATERCOURSE,WATERWAY,HYDROLOGY,-42.30833,147.93826,TAS,2025-12-14,POINT (147.93826 -42.30833),gazetted
TAS_3604N,3604N,Brushy Creek,WATERCOURSE,WATERWAY,HYDROLOGY,-42.87499,147.27546,TAS,2025-12-14,POINT (147.27546 -42.87499),gazetted
TAS_12709E,12709E,Brushy Hill Creek,WATERCOURSE,WATERWAY,HYDROLOGY,-41.86532,147.80851,TAS,2025-12-14,POINT (147.80851 -41.86532),gazetted
TAS_18993Q,18993Q,Brushy Plains Rivulet,WATERCOURSE,WATERWAY,HYDROLOGY,-42.65833,147.6671,TAS,2025-12-14,POINT (147.6671 -42.65833),gazetted
TAS_5591D,5591D,Brushy River,WATERCOURSE,WATERWAY,HYDROLOGY,-42.00023,147.9145,TAS,2025-12-14,POINT (147.9145 -42.00023),gazetted
TAS_1633M,1633M,Brushy Rivulet,WATERCOURSE,WATERWAY,HYDROLOGY,-41.42168,146.75359,TAS,2025-12-14,POINT (146.75359 -41.42168),gazetted
TAS_13645Y,13645Y,Bryans Creek,WATERCOURSE,WATERWAY,HYDROLOGY,-42.26542,147.09421,TAS,2025-12-14,POINT (147.09421 -42.26542),gazetted
TAS_7670N,7670N,Bryans Creek,WATERCOURSE,WATERWAY,HYDROLOGY,-41.44441,146.7188,TAS,2025-12-14,POINT (146.7188 -41.44441),gazetted
TAS_6504L,6504L,Buchanan Creek,WATERCOURSE,WATERWAY,HYDROLOGY,-41.90431,146.88461,TAS,2025-12-14,POINT (146.88461 -41.90431),gazetted
TAS_16133Y,16133Y,Buckby Creek,WATERCOURSE,WATERWAY,HYDROLOGY,-41.31373,144.85914,TAS,2025-12-14,POINT (144.85914 -41.31373),gazetted
